0.5	1466
1	1182
1.5	1176
2	961
2.5	890
3	722
3.5	651
4	610
4.5	506
5	461
5.5	408
6	342
6.5	311
7	268
7.5	213
8	204
8.5	176
9	161
9.5	126
10	129
10.5	118
11	81
11.5	106
12	74
12.5	74
13	67
13.5	64
14	42
14.5	53
15	48
15.5	36
16	43
16.5	34
17	26
17.5	33
18	30
18.5	30
19	26
19.5	23
20	13
20.5	18
21	10
21.5	13
22	15
22.5	14
23	12
23.5	17
24	13
24.5	15
25	15
25.5	13
26	4
26.5	6
27	12
27.5	17
28	10
28.5	14
29	7
29.5	9
30	12
