8085.5,47
8085.502,41
8085.505,35
8085.507,44
8085.51,33
8085.512,47
8085.515,54
8085.517,38
8085.52,37
8085.523,51
8085.525,40
8085.528,45
8085.53,46
8085.533,35
8085.535,46
8085.538,34
8085.54,53
8085.542,51
8085.545,26
8085.547,52
8085.55,48
8085.552,43
8085.555,39
8085.557,31
8085.56,41
8085.563,45
8085.565,54
8085.568,41
8085.57,27
8085.573,44
8085.575,43
8085.578,35
8085.58,39
8085.583,47
8085.585,49
8085.587,43
8085.59,43
8085.592,41
8085.595,49
8085.597,46
8085.6,46
8085.603,55
8085.605,45
8085.608,47
8085.61,33
8085.613,36
8085.615,42
8085.618,39
8085.62,42
8085.623,52
8085.625,51
8085.627,34
8085.63,38
8085.632,53
8085.635,46
8085.637,45
8085.64,51
8085.642,50
8085.645,42
8085.648,47
8085.65,59
8085.653,41
8085.655,39
8085.658,50
8085.66,47
8085.663,32
8085.665,32
8085.667,46
8085.67,42
8085.672,45
8085.675,35
8085.677,33
8085.68,37
8085.682,37
8085.685,56
8085.688,43
8085.69,36
8085.693,42
8085.695,44
8085.698,49
8085.7,49
8085.703,48
8085.705,36
8085.708,51
8085.71,50
8085.712,47
8085.715,49
8085.717,40
8085.72,56
8085.722,35
8085.725,55
8085.728,51
8085.73,26
8085.733,45
8085.735,42
8085.738,44
8085.74,61
8085.743,40
8085.745,45
8085.748,42
8085.75,33
8085.752,50
8085.755,56
8085.757,45
8085.76,42
8085.762,38
8085.765,51
8085.767,48
8085.77,43
8085.773,56
8085.775,49
8085.778,51
8085.78,46
8085.783,35
8085.785,36
8085.788,46
8085.79,46
8085.792,45
8085.795,44
8085.797,52
8085.8,44
8085.802,32
8085.805,48
8085.807,38
8085.81,39
8085.813,30
8085.815,45
8085.818,46
8085.82,44
8085.823,49
8085.825,31
8085.828,50
8085.83,45
8085.833,45
8085.835,38
8085.837,49
8085.84,39
8085.842,42
8085.845,39
8085.847,40
8085.85,50
8085.853,44
8085.855,45
8085.858,53
8085.86,39
8085.863,42
8085.865,32
8085.868,56
8085.87,48
8085.873,48
8085.875,57
8085.877,46
8085.88,45
8085.882,40
8085.885,34
8085.887,45
8085.89,42
8085.892,35
8085.895,41
8085.898,40
8085.9,34
8085.903,39
8085.905,46
8085.908,43
8085.91,45
8085.913,46
8085.915,41
8085.917,52
8085.92,40
8085.922,54
8085.925,48
8085.927,46
8085.93,52
8085.932,47
8085.935,53
